stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
75,64,"MARTINDALE RD + BROOKLYN CT",,43.180048,-79.277623,,,,,,0
76,66,"MARTINDALE RD + SOUTH SERVICE RD",,43.175615,-79.275208,,,,,,0
77,67,"MARTINDALE RD + HANNOVER DR",,43.173698,-79.274095,,,,,,0
78,68,"MARTINDALE RD + ERION RD",,43.172427,-79.273397,,,,,,0
79,69,"ERION RD + HUNTINGTON SQUARE",,43.172093,-79.275082,,,,,,0
80,70,"FIRST ST LOUTH + ERION RD",,43.171537,-79.276877,,,,,,0
81,71,"FIRST ST LOUTH + MARACAY WAY",,43.169622,-79.276790,,,,,,0
82,72,"FIRST ST LOUTH + DUNBAR CR",,43.167032,-79.276710,,,,,,0
83,73,"FIRST ST LOUTH + 3RD AVE LOUTH",,43.164695,-79.276638,,,,,,0
84,74,"FIRST ST LOUTH + MOTHER TERESA SCHOOL",,43.162835,-79.276575,,,,,,0
85,75,"GRAPEVIEW DR + STONEY BROOK CR",,43.163360,-79.273747,,,,,,0
86,76,"GRAPEVIEW DR + VANSICKLE DR",,43.164170,-79.271488,,,,,,0
87,77,"GRAPEVIEW DR + MARTINDALE RD",,43.165212,-79.268517,,,,,,0
88,78,"MARTINDALE RD + FAWELL AVE",,43.163463,-79.266737,,,,,,0
89,79,"MARTINDALE RD + ELDERWOOD DR",,43.159028,-79.265425,,,,,,0
91,81,"FOURTH AVE + HWY 406",,43.156295,-79.260895,,,,,,0
92,82,"WELLAND AVE + ONTARIO ST",,43.160593,-79.255013,,,,,,0
94,84,"JAMES ST + WELLAND AVE",,43.161587,-79.250110,,,,,,0
95,85,"JAMES ST + DUKE ST",,43.160762,-79.248465,,,,,,0
96,86,"ST CATHARINES PUBLIC LIBRARY CARLISLE ST ENTRANCE",,43.160435,-79.245367,,,,,,0
97,88,"KING ST + JAMES ST",,43.158758,-79.245955,,,,,,0
98,89,"KING ST + QUEEN ST",,43.157257,-79.247305,,,,,,0
100,584,"GLENRIDGE AVE + WESTCHESTER CR",,43.154808,-79.242060,,,,,,0
101,585,"GLENRIDGE AVE + HILLCREST AVE",,43.152663,-79.240702,,,,,,0
102,586,"GLENRIDGE AVE + WYCHWOOD RD",,43.151510,-79.240367,,,,,,0
103,587,"GLENRIDGE AVE + RIDGEWOOD RD",,43.150287,-79.240192,,,,,,0
104,588,"GLENRIDGE AVE + ROCKCLIFFE RD",,43.148673,-79.239938,,,,,,0
105,589,"GLENRIDGE AVE + EDGEDALE RD",,43.146853,-79.239692,,,,,,0
106,590,"GLENRIDGE AVE + RIVERVIEW BLVD",,43.143610,-79.239517,,,,,,0
107,1062,"GLENRIDGE AVE + GLENRIDGE PLAZA",,43.141942,-79.239485,,,,,,0
108,599,"GLENRIDGE AVE + GLEN MORRIS DR",,43.140130,-79.239198,,,,,,0
